scenario,scenario_name,year,crime_type,crime_label,pred_mean,pred_median,pred_q025,pred_q10,pred_q90,pred_q975
A,Structural Deterioration,2025,NA,NA,4.879698007694699,4.780734368872533,3.265395675624927,3.726632276005284,6.157219040976495,7.01074748755583
A,Structural Deterioration,2026,NA,NA,5.034723704571782,4.925551437199317,3.322107799514357,3.819483315708373,6.3719463012938595,7.355421061065793
A,Structural Deterioration,2027,NA,NA,5.163350189168434,5.062480845121113,3.4074282481039333,3.9058084440337795,6.551319142343811,7.480379582706206
A,Structural Deterioration,2028,NA,NA,5.346308344551103,5.231296217368191,3.4947875069398115,4.038763604426449,6.7973703700996415,7.8815314284940605
A,Structural Deterioration,2029,NA,NA,5.494348181786365,5.387763467349368,3.5686156103232016,4.123113446701673,7.010343716359541,8.068941211761544
A,Structural Deterioration,2030,NA,NA,5.618561506141129,5.507081790260399,3.651863811562998,4.212925274062666,7.154025142965654,8.286673382561915
A,Structural Deterioration,2031,NA,NA,5.7806678745835285,5.648643459728319,3.6887009365577996,4.314820221955535,7.4002366659438055,8.606152085903606
A,Structural Deterioration,2032,NA,NA,5.935005369950183,5.808669017204075,3.7963935905812853,4.408398355064545,7.606219796850977,8.803057352932841
A,Structural Deterioration,2033,NA,NA,6.118542538658366,5.970224991107875,3.8964975156389876,4.5292983864076675,7.867519909496052,9.091508117253925
B,Status Quo (Mean Reversion),2024,violent_crime_rate,Violent Crime,340.9993304893992,337.485544593879,253.35177934793646,280.99625695956576,406.03913431493436,448.060827975064
B,Status Quo (Mean Reversion),2025,violent_crime_rate,Violent Crime,342.18934384030524,338.7404761895349,251.92515197394638,279.91544723822955,409.4230014160931,452.33740018562696
B,Status Quo (Mean Reversion),2026,violent_crime_rate,Violent Crime,344.5564680485412,340.3435490985802,252.22799051772557,281.7623718420501,413.04075264280044,457.56114607061784
B,Status Quo (Mean Reversion),2027,violent_crime_rate,Violent Crime,344.9420195680058,341.1314996814152,251.6504471691545,280.99317696250023,413.86259932316256,458.9284684897836
B,Status Quo (Mean Reversion),2028,violent_crime_rate,Violent Crime,346.86559711979373,343.4759055956155,251.4907547280774,279.94135563234204,417.3059447574369,465.86724951873975
B,Status Quo (Mean Reversion),2029,violent_crime_rate,Violent Crime,348.46493902337585,343.88108694057394,251.17871627614568,280.97442369513175,422.115931445568,469.56785153664157
B,Status Quo (Mean Reversion),2030,violent_crime_rate,Violent Crime,349.93311948987764,345.36875043865155,248.55702176719342,279.82125828229687,425.95424287274784,476.2598258483485
B,Status Quo (Mean Reversion),2031,violent_crime_rate,Violent Crime,351.0146028057643,347.1666283235413,247.98275176344026,278.9530630860229,426.3695455491069,477.7566022202135
B,Status Quo (Mean Reversion),2032,violent_crime_rate,Violent Crime,352.9595538287995,348.2891293886154,249.4470501099359,280.42431657807623,429.8647454796983,480.8773578561973
B,Status Quo (Mean Reversion),2033,violent_crime_rate,Violent Crime,353.75069459893274,349.8222465543498,249.92588312477267,281.2407828454735,432.4185226931875,484.3407903305199
B,Status Quo (Mean Reversion),2024,property_crime_rate,Property Crime,1870.1261346582519,1866.3070019722204,1670.8135667610911,1735.6482151317766,2007.4510521725736,2087.1629429919676
B,Status Quo (Mean Reversion),2025,property_crime_rate,Property Crime,1886.0824609000663,1878.8377360051168,1620.6848160004963,1704.8857349269579,2073.678811379811,2190.807075333717
B,Status Quo (Mean Reversion),2026,property_crime_rate,Property Crime,1900.5356987478538,1891.946517103725,1581.7348237660146,1682.1583131221287,2133.3031393771666,2280.9220507854466
B,Status Quo (Mean Reversion),2027,property_crime_rate,Property Crime,1916.1491309985706,1902.5065543840803,1548.4596086397123,1665.136463071134,2184.2765784548255,2353.53629493585
B,Status Quo (Mean Reversion),2028,property_crime_rate,Property Crime,1931.4974520861285,1915.069142169487,1524.3979067311752,1653.5662957117443,2235.6445293846364,2430.4344572691907
B,Status Quo (Mean Reversion),2029,property_crime_rate,Property Crime,1944.9653702492378,1925.7445900729822,1502.754486068714,1638.6056207689714,2274.579532347447,2503.490187083278
B,Status Quo (Mean Reversion),2030,property_crime_rate,Property Crime,1961.2422656416045,1938.3897874056715,1477.3333680219457,1629.4861700594183,2322.9404633012273,2562.849523829729
B,Status Quo (Mean Reversion),2031,property_crime_rate,Property Crime,1975.343561374983,1950.525292993517,1464.7731744300686,1616.736962552658,2360.3365688907916,2622.5703143124733
B,Status Quo (Mean Reversion),2032,property_crime_rate,Property Crime,1991.1026155440534,1961.3033125674383,1440.488841307652,1611.4787699623812,2407.0225932339567,2690.105860983122
B,Status Quo (Mean Reversion),2033,property_crime_rate,Property Crime,2007.3021989962112,1977.8843806249683,1434.0025182904026,1600.396072593792,2448.6343274992623,2755.4248787221713
B,Status Quo (Mean Reversion),2024,NA,NA,4.629796209319958,4.545931805889667,3.098777507555961,3.5353276680570724,5.829340376528698,6.655337675935704
B,Status Quo (Mean Reversion),2025,NA,NA,4.6619956048842335,4.5671786169472375,3.089530801245188,3.5629736722531726,5.890467126713121,6.7147717344724445
B,Status Quo (Mean Reversion),2026,NA,NA,4.677036738850626,4.580775955773416,3.088360995799898,3.542238242899443,5.9074794012632665,6.817746595362913
B,Status Quo (Mean Reversion),2027,NA,NA,4.6979704148809205,4.598110889102326,3.078949965899347,3.5519231451687583,5.954260321472931,6.8084094707014
B,Status Quo (Mean Reversion),2028,NA,NA,4.7188829811762565,4.617330957719632,3.085338679665461,3.5654987053670837,6.003865694823374,6.888571532752548
B,Status Quo (Mean Reversion),2029,NA,NA,4.726828408763574,4.631298591454636,3.0643729265225286,3.545346833714255,6.010920582938379,6.940528426837382
B,Status Quo (Mean Reversion),2030,NA,NA,4.753125922015634,4.652244555833493,3.0483974605382556,3.540359012475808,6.084843749708173,6.99654385664181
B,Status Quo (Mean Reversion),2031,NA,NA,4.767736144988283,4.660968252366122,3.0340478664036836,3.53192725627759,6.127065658673292,7.066846687571091
B,Status Quo (Mean Reversion),2032,NA,NA,4.803518411274238,4.700615509684205,3.0554241017592267,3.583499441766121,6.151584341036479,7.162403719798398
B,Status Quo (Mean Reversion),2033,NA,NA,4.826723248569605,4.719674831537133,3.0615857201011165,3.558808810550875,6.234650506761323,7.176340101933947
C,Continued Compression,2024,violent_crime_rate,Violent Crime,333.4758678789983,329.91003041821705,247.6912072750097,273.0659201640676,397.2989609275709,441.12569478199265
C,Continued Compression,2025,violent_crime_rate,Violent Crime,328.30612859242666,324.2724625377858,241.33070409889814,268.31864034996323,393.2715521149994,436.0758455328317
C,Continued Compression,2026,violent_crime_rate,Violent Crime,323.923495340223,321.01627711487504,235.4217508688601,263.1274114589697,388.6989138618131,430.7480406211325
C,Continued Compression,2027,violent_crime_rate,Violent Crime,319.6945302855972,316.1658493692528,231.5942170534418,258.06796948383544,386.5276870815771,431.91134791804654
C,Continued Compression,2028,violent_crime_rate,Violent Crime,314.0497613818029,310.62823506834343,227.38920795208605,251.96775513905615,381.59636293518844,424.496320269707
C,Continued Compression,2029,violent_crime_rate,Violent Crime,309.0853800711593,306.03174717332547,221.1399820352231,247.0604805673298,375.2036327533349,416.1689059527452
C,Continued Compression,2030,violent_crime_rate,Violent Crime,304.1639635566594,300.32196138109214,215.20008641171034,242.1659513952897,372.07241984767535,415.53673003727533
C,Continued Compression,2031,violent_crime_rate,Violent Crime,299.4015960306526,295.53689184514485,208.67378333733396,235.57933337322356,368.5118242410174,414.09082711762244
C,Continued Compression,2032,violent_crime_rate,Violent Crime,295.46933695608834,290.9667006123873,205.57390874454293,231.0507311113798,364.58996223997536,411.01737114748414
C,Continued Compression,2033,violent_crime_rate,Violent Crime,291.000733091555,286.6207414951245,198.85411572858493,227.6126822740142,361.2045143273657,406.218094617834
C,Continued Compression,2024,property_crime_rate,Property Crime,1802.2150921892196,1796.7109221252433,1610.3388082629924,1674.7908119624244,1935.8536738512234,2020.2019499682362
C,Continued Compression,2025,property_crime_rate,Property Crime,1753.4080403454661,1746.3454675340247,1500.601514111978,1583.5950453832854,1931.5506187109165,2045.8916664263468
C,Continued Compression,2026,property_crime_rate,Property Crime,1706.6088579981244,1696.9763175353787,1418.4594031043682,1506.367241256689,1918.1603151587751,2057.3983627537527
C,Continued Compression,2027,property_crime_rate,Property Crime,1661.7604408956308,1651.4062752353852,1339.1099422479792,1439.9444681749408,1898.207872322444,2055.2178820907584
C,Continued Compression,2028,property_crime_rate,Property Crime,1617.1027793945282,1601.1957608954115,1272.2512586039586,1375.0377273946347,1875.3689998510595,2046.9730137286845
C,Continued Compression,2029,property_crime_rate,Property Crime,1573.4122116809358,1554.8787021128005,1207.1418643634981,1314.1269364303114,1854.3839662696616,2035.931142131513
C,Continued Compression,2030,property_crime_rate,Property Crime,1531.9393328147655,1514.4074551613346,1139.8600102307935,1257.5172658127292,1828.5623531158228,2028.1593466979953
C,Continued Compression,2031,property_crime_rate,Property Crime,1492.4529161584294,1471.0272407755374,1084.3412127829565,1202.5922678683735,1806.593067950232,2024.4223593892277
C,Continued Compression,2032,property_crime_rate,Property Crime,1454.8960175996422,1431.4997942870064,1028.7403449273086,1155.3664362849452,1782.4401009334981,2017.5339144215268
C,Continued Compression,2033,property_crime_rate,Property Crime,1417.351344107491,1392.0014115393215,980.7408473968118,1103.9245220219111,1753.486589147953,1991.2639177842564
C,Continued Compression,2024,NA,NA,4.508875279411337,4.437650823477181,2.992654483064814,3.4473093095016907,5.664260787526005,6.5003667188075145
C,Continued Compression,2025,NA,NA,4.424448266840269,4.337679061174651,2.9262463913842955,3.360583723507302,5.590774525956873,6.393220340783666
C,Continued Compression,2026,NA,NA,4.3469744404901896,4.266302596658035,2.8515246352542336,3.284226059571588,5.511980706879942,6.316668163698426
C,Continued Compression,2027,NA,NA,4.297705368139759,4.217112847812017,2.7663942982388523,3.214507697361766,5.476262360003949,6.321593101771465
C,Continued Compression,2028,NA,NA,4.21405274207004,4.1207100947251085,2.736895010170801,3.159403803415941,5.384357767610973,6.2244920934551855
C,Continued Compression,2029,NA,NA,4.124416870270491,4.0337100319836505,2.6446655867347686,3.071981523768122,5.26750651294026,6.121530351055728
C,Continued Compression,2030,NA,NA,4.067741722457291,3.96844727548932,2.586842286913546,3.0085370571579277,5.242366585619404,6.098595182387519
C,Continued Compression,2031,NA,NA,3.9932644059920523,3.8988598507421717,2.5186686854366114,2.9358125474430947,5.172956539475191,6.011568734870521
C,Continued Compression,2032,NA,NA,3.938329851451667,3.847538785891367,2.4409382498119494,2.8671374325795074,5.130216391296829,5.944841199944001
C,Continued Compression,2033,NA,NA,3.8543910256414504,3.764467963025262,2.365721260693226,2.8151724309607777,5.007710749885726,5.7710593187561665
