ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
IL0470000,6,25,48,15.9878479160349,15.1801073207587,16.795588511311,0,IL,il,1.66666666666667,Medium,0.980829253011726,0.412112548610269,5.85354137248783
IL0470300,6,16,33,-4.48954962491981,-5.14554051798426,-3.83355873185535,5.00070326639214e-41,IL,il,1.33333333333333,Low,0.847297860387203,0.334689231155333,8.84823565433879
IL0540200,6,9,20,32.1237101550873,31.6071576234128,32.6402626867617,0,IL,il,1.5,Low,0.916290731874155,0.263547210038,14.1930273453691
IL0560100,6,12,20,12.9197134260473,11.9532093590092,13.8862174930855,2.64072918384951e-151,IL,il,1.16666666666667,Low,0.773189888233482,0.493114319917432,4.09564590539898
IL0560500,8,14,28,27.6076171587572,26.7464248574026,28.4688094601118,0,IL,il,1.25,Low,0.810930216216329,0.439383827221741,5.15309463809496
IL0570200,10,32,95,-3.51317889742648,-4.26870102777634,-2.75765676707662,7.93974228657631e-20,IL,il,1.6,Medium,0.955511445027436,0.385470474668298,6.68505114376916
IL0580200,12,36,308,9.36057925949671,8.06362376436165,10.6575347546318,1.9768005715756e-45,IL,il,5.41666666666667,High,1.85889877206568,0.661711987313808,2.27861669857564
IL0600000,11,26,83,4.11255150494081,3.35861462921837,4.86648838066325,1.11735942361563e-26,IL,il,2.36363636363636,High,1.21302263984585,0.38466167128696,6.71300423650042
IL0600100,7,36,163,-8.68005609024639,-9.47981200861653,-7.88030017187625,2.03552442087864e-100,IL,il,2.14285714285714,High,1.145132304303,0.408038733862317,5.9703057886633
IL0600700,7,31,98,9.04059188398331,7.97055645870658,10.11062730926,1.36072016319205e-61,IL,il,1.57142857142857,Medium,0.944461608840851,0.545936441467718,3.34396046060548
IL0601600,7,18,36,-12.3596846443527,-13.5378633376728,-11.1815059510325,6.08746135064278e-94,IL,il,1.57142857142857,Medium,0.944461608840851,0.601111578224555,2.75987592328471
IL0690100,6,19,40,19.4916025643999,18.0626731918576,20.9205319369424,1.8070779463401e-157,IL,il,1.5,Low,0.916290731874155,0.729045598235919,1.87790787823588
IL0720000,11,34,150,-4.84000524342715,-5.56405931562861,-4.11595117122569,3.21548379166792e-39,IL,il,3.90909090909091,High,1.5910887737659,0.369415342959931,7.27443633598438
IL0720100,6,22,45,-7.86684987260497,-8.64462247638743,-7.08907726882251,1.82650655927863e-87,IL,il,1.66666666666667,Medium,0.980829253011726,0.396822757031868,6.3104103272078
IL0810000,10,21,43,-1.24787616650373,-1.87383263373889,-0.621919699268561,9.33100597589812e-05,IL,il,1.4,Low,0.8754687373539,0.319365544507737,9.70927036394657
IL0810400,10,19,50,-8.07270531821727,-8.89440630608129,-7.25100433035326,1.26232260397978e-82,IL,il,1.9,Medium,1.06471073699243,0.419235197889805,5.65744772445067
IL0810600,12,30,128,0.692757983021131,0.18824332710585,1.19727263893641,0.00711718957948648,IL,il,3.91666666666667,High,1.59263079411772,0.25740543669147,14.8682173018471
