ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state
IL0580200,12,36,308,9.36057925949671,8.06362376436165,10.6575347546318,1.9768005715756e-45,IL
IL0600000,11,26,83,4.11255150494081,3.35861462921837,4.86648838066325,1.11735942361563e-26,IL
IL0600100,7,36,163,-8.68005609024639,-9.47981200861653,-7.88030017187625,2.03552442087864e-100,IL
IL0600700,7,31,98,9.04059188398331,7.97055645870658,10.11062730926,1.36072016319205e-61,IL
IL0601600,7,18,36,-12.3596846443527,-13.5378633376728,-11.1815059510325,6.08746135064278e-94,IL
IL0690100,6,19,40,19.4916025643999,18.0626731918576,20.9205319369424,1.8070779463401e-157,IL
IL0720000,11,34,150,-4.84000524342715,-5.56405931562861,-4.11595117122569,3.21548379166792e-39,IL
IL0720100,6,22,45,-7.86684987260497,-8.64462247638743,-7.08907726882251,1.82650655927863e-87,IL
IL0810000,10,21,43,-1.24787616650373,-1.87383263373889,-0.621919699268561,9.33100597589812e-05,IL
IL0810400,10,19,50,-8.07270531821727,-8.89440630608129,-7.25100433035326,1.26232260397978e-82,IL
IL0810600,12,30,128,0.692757983021131,0.18824332710585,1.19727263893641,0.00711718957948648,IL
IL0810800,12,32,116,2.93975525695984,2.19734215735051,3.68216835656918,8.4215575680003e-15,IL
IL0820000,6,21,44,5.00749087751714,4.34325866632112,5.67172308871316,2.09289499312192e-49,IL
IL0820200,10,32,93,15.5108572878354,14.9948403304852,16.0268742451857,0,IL
IL0821600,8,21,47,-3.11811447794869,-3.87787647667238,-2.35835247922501,8.69722771354646e-16,IL
IL0840000,8,34,88,-7.62320453786769,-8.07014560264157,-7.1762634730938,4.93676430701597e-245,IL
IL0840200,12,36,518,-2.57634311484974,-3.27386070767699,-1.8788255220225,4.5056141508516e-13,IL
IL0849700,10,31,100,6.05723527253318,5.57170709270111,6.54276345236525,4.78069887175295e-132,IL
IL0890100,8,31,87,-10.7219673712087,-11.7415804885283,-9.70235425388914,2.19510456759807e-94,IL
IL0900700,6,8,25,-55.9894411459334,-56.8255033478051,-55.1533789440617,0,IL
IL0900900,10,22,47,39.4013097940324,38.8496348229594,39.9529847651055,0,IL
IL0920000,7,23,50,-44.5951012090753,-45.3097497831415,-43.880452635009,0,IL
IL0920300,12,36,238,-7.06082160431218,-7.63842579661731,-6.48321741200705,7.32525903242405e-127,IL
IL0990200,7,32,91,13.3108229993755,12.5359363347251,14.0857096640258,1.67610159799037e-248,IL
IL0991100,7,21,44,13.5107253554837,12.8402358927607,14.1812148182066,0,IL
IL1010000,10,32,82,-1.67893005680859,-2.64493003159036,-0.712930082026829,0.000657955625282515,IL
IL1010200,8,27,55,-14.2213603401401,-15.1166102768657,-13.3261104034144,8.02310636699095e-213,IL
IL1010400,12,36,819,6.40382051428237,5.59129389262737,7.21634713593736,7.84519356748993e-54,IL
ILCPD0000,6,36,7050,-1.49854677852614,-2.19441203352367,-0.802681523528602,2.43369160705121e-05,IL
OR0020100,8,15,39,-28.3404614937047,-29.2000039682543,-27.480919019155,0,OR
OR0030000,12,35,222,-2.3122924642828,-2.76925892284207,-1.85532600572352,3.4841603104766e-23,OR
OR0030100,6,12,21,12.9543257171472,11.9607584665411,13.9478929677533,4.84772242154837e-144,OR
