ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state
CO0260100,10,6,22,12.3073024182549,11.050151236468,13.5644536000417,4.65556925115433e-82,CO
CO0300000,31,17,403,9.25356678285122,8.78079450979302,9.72633905590943,1.11253692925363e-308,CO
CO0300100,29,17,241,7.20364481766283,6.64026879162571,7.76702084369995,1.30262793385888e-138,CO
CO0300400,31,17,442,-4.98434725897909,-5.53978928754969,-4.42890523040849,3.0244611894384e-69,CO
CO0300500,20,11,55,16.5335871719701,15.8396241465305,17.2275501974097,0,CO
CO0350000,28,14,102,-0.804272955197556,-1.63701971175522,0.0284738013601106,0.0583602039218139,CO
CO0350300,31,16,294,1.56011621138893,0.991922474798491,2.12830994797936,7.38004250986768e-08,CO
CO0350400,30,16,217,1.94592685395992,1.42962697977615,2.46222672814368,1.49939417934851e-13,CO
CO0360100,9,11,20,11.828117597693,11.152534123543,12.503701071843,4.57933339337212e-258,CO
CO0380100,16,6,33,-11.0628327073618,-12.1128916045162,-10.0127738102073,9.87113802085715e-95,CO
CO0390000,28,17,169,-9.23911425990969,-9.9616653982033,-8.51656312161609,1.2879571022757e-138,CO
CO0390100,31,16,183,-1.67439073811784,-2.29182885097713,-1.05695262525855,1.06541390151434e-07,CO
CO0390200,12,6,21,9.29310899497266,8.28372371189296,10.3024942780523,8.61538205832263e-73,CO
CO0420100,14,9,32,5.19325911329599,4.25971984913345,6.12679837745853,1.1098245544333e-27,CO
CO0430100,12,8,28,3.74780432762821,2.63749655976041,4.85811209549601,3.69272503885094e-11,CO
CO0440200,20,6,38,-8.33766661092206,-9.39027265523709,-7.28506056660703,2.34594750989012e-54,CO
CO0450100,14,9,31,-23.0025904572994,-23.7691736713478,-22.2360072432511,0,CO
CO0510100,31,17,496,-6.90346292005656,-7.36519437241685,-6.44173146769626,9.10139965557625e-189,CO
CO0540100,13,8,25,1.84089106783966,0.943181911330347,2.73860022434897,5.83757008905803e-05,CO
CO0620000,19,12,77,-8.70949617197512,-9.48522065113049,-7.93377169281975,2.52153692403599e-107,CO
CO0620100,17,6,39,-14.8136169113207,-15.6799576583262,-13.9472761643152,2.9968569657118e-246,CO
CO0620200,31,17,455,14.4088964479921,13.8130600914883,15.0047328044959,0,CO
CO0620400,23,14,65,3.80593004414965,2.94236664552746,4.66949344277185,5.71116401532797e-18,CO
CO0621000,15,10,37,-11.2856233718834,-12.3272650879658,-10.2439816558011,4.48531299152969e-100,CO
CO0640100,27,17,111,24.0457305214887,23.4593481641875,24.6321128787899,0,CO
CODPD0000,31,17,2390,-5.83154548109352,-6.47654935858253,-5.18654160360451,2.91007211788783e-70,CO
